missingPattern,prop,b,AUC_semi,AUC_known
create_missing_at_random_data,0.15,8,0.718389728,0.7176206648000001
create_missing_at_random_data,0.15,9,0.7132244280000001,0.7124993208
create_missing_class_one_data,0.15,0,0.7178631008,0.7176693752000001
create_missing_class_one_data,0.15,1,0.7134091024,0.7126357184
create_missing_class_one_data,0.15,2,0.7164662184,0.7158673743999999
create_missing_class_one_data,0.15,3,0.7124634679999999,0.7121714072
create_missing_class_one_data,0.15,4,0.7133836096,0.7126627303999999
create_missing_class_one_data,0.15,5,0.7129534791999999,0.7127445944
create_missing_class_one_data,0.15,6,0.7114943752,0.7109961632
create_missing_class_one_data,0.15,7,0.7157994543999999,0.7156126504
create_missing_class_one_data,0.15,8,0.709362448,0.7092406616
create_missing_class_one_data,0.15,9,0.7114150960000001,0.7113730216
create_missing_at_random_data,0.2,0,0.7117210392000001,0.7108907728
create_missing_at_random_data,0.2,1,0.7128434832,0.710782736
create_missing_at_random_data,0.2,2,0.7137197943999999,0.7121272232
create_missing_at_random_data,0.2,3,0.7124956312,0.7121196256
create_missing_at_random_data,0.2,4,0.7103649048,0.7089398384
create_missing_at_random_data,0.2,5,0.7137341336,0.7124491336
create_missing_at_random_data,0.2,6,0.7126314224,0.7111033632
create_missing_at_random_data,0.2,7,0.7060268592000001,0.7044250336
create_missing_at_random_data,0.2,8,0.7139353480000001,0.7126234208
create_missing_at_random_data,0.2,9,0.7113268096,0.7100738320000001
create_missing_class_one_data,0.2,0,0.7178003592,0.7173789935999999
create_missing_class_one_data,0.2,1,0.7125935696,0.7113172288
create_missing_class_one_data,0.2,2,0.7071689776,0.7062101672
create_missing_class_one_data,0.2,3,0.7118773144,0.7117751472
create_missing_class_one_data,0.2,4,0.7159455880000001,0.7150131528
create_missing_class_one_data,0.2,5,0.7125897568,0.712134116
create_missing_class_one_data,0.2,6,0.7133180903999999,0.7131063792
create_missing_class_one_data,0.2,7,0.7166099864000001,0.7161553776
create_missing_class_one_data,0.2,8,0.7138325311999999,0.7130691552
create_missing_class_one_data,0.2,9,0.7119503432000001,0.7115279752000001
create_missing_at_random_data,0.25,0,0.713580876,0.7117592072000001
create_missing_at_random_data,0.25,1,0.7117663632,0.7099661752
create_missing_at_random_data,0.25,2,0.7138298279999999,0.7113089456
create_missing_at_random_data,0.25,3,0.7140424552,0.7122264095999999
create_missing_at_random_data,0.25,4,0.7150416479999999,0.7125692904
create_missing_at_random_data,0.25,5,0.7133348791999999,0.7121876936
create_missing_at_random_data,0.25,6,0.713783524,0.7117720799999999
create_missing_at_random_data,0.25,7,0.7156647032,0.7137136376
create_missing_at_random_data,0.25,8,0.7135371384,0.7120596608
create_missing_at_random_data,0.25,9,0.7158616503999999,0.7146671175999999
create_missing_class_one_data,0.25,0,0.7128435968000001,0.712609172
create_missing_class_one_data,0.25,1,0.7118649344,0.7118241944
create_missing_class_one_data,0.25,2,0.710772292,0.7105400112
create_missing_class_one_data,0.25,3,0.7112158848,0.7109635679999999
create_missing_class_one_data,0.25,4,0.7099545584,0.7092611160000001
create_missing_class_one_data,0.25,5,0.7132916311999999,0.7126356
create_missing_class_one_data,0.25,6,0.7124778768,0.7122273896
create_missing_class_one_data,0.25,7,0.7098835256000001,0.7097427944
create_missing_class_one_data,0.25,8,0.7170564544,0.7172215167999999
create_missing_class_one_data,0.25,9,0.709906808,0.7088374712000001
create_missing_at_random_data,0.3,0,0.7182062520000001,0.7166709416000001
create_missing_at_random_data,0.3,1,0.7110854272,0.7094470128
create_missing_at_random_data,0.3,2,0.7156015456,0.7135752096
create_missing_at_random_data,0.3,3,0.7168860784,0.7149333192
create_missing_at_random_data,0.3,4,0.7156651744,0.7139916000000001
create_missing_at_random_data,0.3,5,0.716555432,0.7148759727999999
create_missing_at_random_data,0.3,6,0.7169772144,0.7148811703999999
create_missing_at_random_data,0.3,7,0.7183694736,0.7163263399999998
create_missing_at_random_data,0.3,8,0.7117139960000001,0.7100150728
create_missing_at_random_data,0.3,9,0.7173564672,0.7150064479999999
create_missing_class_one_data,0.3,0,0.7134702096,0.7126876592
create_missing_class_one_data,0.3,1,0.7121735208000001,0.7127968352
create_missing_class_one_data,0.3,2,0.7090093288,0.708903728
create_missing_class_one_data,0.3,3,0.7129270232,0.7132245575999999
create_missing_class_one_data,0.3,4,0.7081479464,0.7083416792
create_missing_class_one_data,0.3,5,0.7087737128,0.7090804552
create_missing_class_one_data,0.3,6,0.7175196432000001,0.7166192328
create_missing_class_one_data,0.3,7,0.7079525944,0.7082624679999999
create_missing_class_one_data,0.3,8,0.7103546,0.7105280096000001
create_missing_class_one_data,0.3,9,0.7126717816,0.7128132568
create_missing_at_random_data,0.35,0,0.7169577072,0.7145819336
create_missing_at_random_data,0.35,1,0.7169591984,0.7144505264
create_missing_at_random_data,0.35,2,0.7106434056,0.70980694
create_missing_at_random_data,0.35,3,0.7162928559999999,0.7142511936
create_missing_at_random_data,0.35,4,0.7103001936000001,0.7087681424
create_missing_at_random_data,0.35,5,0.7129842216,0.7103323879999999
create_missing_at_random_data,0.35,6,0.7185899232,0.716484268
create_missing_at_random_data,0.35,7,0.710653888,0.7080089992
create_missing_at_random_data,0.35,8,0.7129331368,0.7107444336
create_missing_at_random_data,0.35,9,0.7107753296,0.7084355552
create_missing_class_one_data,0.35,0,0.708630852,0.7087752664
create_missing_class_one_data,0.35,1,0.71009584,0.7098715432
create_missing_class_one_data,0.35,2,0.7087172664,0.709108388
create_missing_class_one_data,0.35,3,0.707129892,0.707026776
create_missing_class_one_data,0.35,4,0.709479824,0.710352808
create_missing_class_one_data,0.35,5,0.7149235656,0.7154636632
create_missing_class_one_data,0.35,6,0.7050107272000001,0.7067170335999999
create_missing_class_one_data,0.35,7,0.7116556223999999,0.7125876928
create_missing_class_one_data,0.35,8,0.714556576,0.715414596
create_missing_class_one_data,0.35,9,0.7100252592,0.7104624032
create_missing_at_random_data,0.4,0,0.7124054432,0.7090513208
create_missing_at_random_data,0.4,1,0.7146855503999999,0.7131434112000001
create_missing_at_random_data,0.4,2,0.7143464743999999,0.7123203711999999
create_missing_at_random_data,0.4,3,0.7118888216000001,0.7086866064
create_missing_at_random_data,0.4,4,0.718538004,0.7159057143999998
create_missing_at_random_data,0.4,5,0.7091246304,0.7086817192
create_missing_at_random_data,0.4,6,0.7148653528000001,0.7111670056
create_missing_at_random_data,0.4,7,0.7122679992000001,0.710728596
create_missing_at_random_data,0.4,8,0.7134205032,0.71101566
create_missing_at_random_data,0.4,9,0.7135589792000001,0.7123297999999999
create_missing_class_one_data,0.4,0,0.7112047856000001,0.7131325296000001
create_missing_class_one_data,0.4,1,0.708915396,0.7100088911999999
create_missing_class_one_data,0.4,2,0.7072025104,0.7093118328000001
create_missing_class_one_data,0.4,3,0.7086199759999999,0.7098369064
